	Lumar	ImagerZ1	SZX12_R	M165FC	SZX12_L	Axioplan2	duration
count	44046.0	44046.0	44046.0	44046.0	44046.0	44046.0	458 days 22:45:00
mean	22.25334264178359	26.34769559097307	24.791575852517823	23.349587249693503	22.807864732325292	22.211453253416884	458 days 22:45:00
min	16.38	17.31	17.62	16.38	17.94	17.31	458 days 22:45:00
25%	20.62	21.06	21.12	20.94	21.06	20.62	458 days 22:45:00
50%	22.0	22.69	23.5	22.5	22.31	21.88	458 days 22:45:00
75%	23.88	25.38	28.5	24.81	24.19	23.69	458 days 22:45:00
max	88.0	57.0	36.56	38.06	35.94	43.5	458 days 22:45:00
std	2.16813932532451	9.286326677946569	4.315376246299273	3.4201074936892164	2.422857326985787	2.054479727131416	458 days 22:45:00
