	Lumar	ImagerZ1	SZX12_R	M165FC	SZX12_L	Axioplan2	duration
count	999.0	999.0	999.0	999.0	999.0	999.0	10 days 09:30:00
mean	22.363023023023022	25.553373373373372	24.973343343343345	22.780150150150153	22.89449449449449	22.342262262262263	10 days 09:30:00
min	20.31	20.31	20.19	20.62	20.81	20.38	10 days 09:30:00
25%	21.38	21.81	21.69	21.69	21.75	21.38	10 days 09:30:00
50%	22.25	22.75	23.06	22.62	22.62	22.25	10 days 09:30:00
75%	23.12	23.94	29.06	23.5	23.38	23.0	10 days 09:30:00
max	26.06	54.5	34.38	31.5	34.69	25.94	10 days 09:30:00
std	1.233567772507538	8.418307629114567	3.987527100596209	1.4223634250441355	1.8533187801134379	1.2172635492710917	10 days 09:30:00
